δ,τ,r,CV,BCV,DRV,ACTUAL,MODEL
0.0,0.3,0.0001,0.0302,0.035763888888888894,0.03280190403399493,0.010835,KNeighbors
0.0,0.3,0.0001,0.050199999999999995,0.05479166666666667,0.05162795943496932,0.020234000000000002,DecisionTree
0.1,0.3,0.0001,0.029400000000000003,0.030138888888888896,0.03274047382093106,0.017376999999999997,KNeighbors
0.1,0.3,0.0001,0.0495,0.05298611111111111,0.05780709660431877,0.034406000000000006,DecisionTree
0.2,0.3,0.0001,0.030400000000000003,0.03263888888888889,0.03589357943727023,0.018091,KNeighbors
0.2,0.3,0.0001,0.0487,0.05347222222222223,0.06258777010245181,0.041678999999999994,DecisionTree
0.3,0.3,0.0001,0.0313,0.035694444444444445,0.04408345800924225,0.032085999999999996,KNeighbors
0.3,0.3,0.0001,0.04970000000000001,0.05298611111111111,0.07482587885217723,0.06476299999999999,DecisionTree
0.4,0.3,0.0001,0.028900000000000006,0.03375,0.05522210647168726,0.11463500000000001,KNeighbors
0.4,0.3,0.0001,0.047400000000000005,0.04979166666666667,0.08800427101913481,0.13253399999999999,DecisionTree
0.5,0.3,0.0001,0.030800000000000004,0.03340277777777778,0.0764146749385226,0.30052299999999993,KNeighbors
0.5,0.3,0.0001,0.05180000000000001,0.059513888888888894,0.13183504529532544,0.254754,DecisionTree
0.6,0.3,0.0001,0.0317,0.036111111111111115,0.10646078308299323,0.625628,KNeighbors
0.6,0.3,0.0001,0.049199999999999994,0.05048611111111112,0.17259597883309122,0.6386780000000001,DecisionTree
0.7,0.3,0.0001,0.029900000000000003,0.034027777777777775,0.1611270420257355,0.37490500000000004,KNeighbors
0.7,0.3,0.0001,0.0478,0.052986111111111116,0.29700373746812536,0.630262,DecisionTree
0.0,0.4,0.0001,0.0277,0.03041666666666667,0.027368356085746965,0.017222,KNeighbors
0.0,0.4,0.0001,0.0492,0.05486111111111111,0.052125372042955614,0.029029000000000003,DecisionTree
0.1,0.4,0.0001,0.028300000000000006,0.03326388888888889,0.03082631465669693,0.014834,KNeighbors
0.1,0.4,0.0001,0.04780000000000001,0.051250000000000004,0.05428955074593303,0.03188800000000001,DecisionTree
0.2,0.4,0.0001,0.026900000000000004,0.03125000000000001,0.03293906078166297,0.022258000000000003,KNeighbors
0.2,0.4,0.0001,0.04649999999999999,0.05145833333333333,0.05931166376813241,0.040979,DecisionTree
0.3,0.4,0.0001,0.0294,0.03298611111111111,0.042386168444242305,0.032473,KNeighbors
0.3,0.4,0.0001,0.04869999999999999,0.057291666666666664,0.07356990248764857,0.06338099999999999,DecisionTree
0.4,0.4,0.0001,0.027700000000000006,0.03097222222222222,0.054161911723311675,0.131846,KNeighbors
0.4,0.4,0.0001,0.04970000000000001,0.05326388888888889,0.10006433952224279,0.122038,DecisionTree
0.5,0.4,0.0001,0.0315,0.03763888888888889,0.07315430908186793,0.27329600000000004,KNeighbors
0.5,0.4,0.0001,0.05,0.052847222222222226,0.10540439078543548,0.29305200000000003,DecisionTree
0.6,0.4,0.0001,0.029600000000000005,0.03347222222222222,0.11697225301778486,0.511115,KNeighbors
0.6,0.4,0.0001,0.0508,0.05388888888888889,0.15341496461242657,0.550657,DecisionTree
0.7,0.4,0.0001,0.026900000000000004,0.03263888888888889,0.16413993756253056,0.51524,KNeighbors
0.7,0.4,0.0001,0.04800000000000001,0.052847222222222226,0.2588290322394737,0.476443,DecisionTree
0.0,0.5,0.0001,0.0286,0.03125,0.028357830390817265,0.018506,KNeighbors
0.0,0.5,0.0001,0.05000000000000001,0.05604166666666667,0.05293084214845347,0.029998,DecisionTree
0.1,0.5,0.0001,0.028900000000000002,0.03513888888888889,0.032157790932362436,0.020819,KNeighbors
0.1,0.5,0.0001,0.05120000000000001,0.05437500000000001,0.05217442952079077,0.036312000000000004,DecisionTree
0.2,0.5,0.0001,0.0308,0.035763888888888894,0.03773157473974663,0.026390999999999994,KNeighbors
0.2,0.5,0.0001,0.05040000000000001,0.05631944444444444,0.06384920012930966,0.051761999999999996,DecisionTree
0.3,0.5,0.0001,0.025799999999999997,0.02854166666666667,0.04115982263384926,0.04634499999999999,KNeighbors
0.3,0.5,0.0001,0.04580000000000001,0.05604166666666667,0.07415591758417378,0.067709,DecisionTree
0.4,0.5,0.0001,0.028999999999999995,0.034444444444444444,0.04854466766310469,0.219958,KNeighbors
0.4,0.5,0.0001,0.04830000000000001,0.05041666666666667,0.08738243016192244,0.18880799999999998,DecisionTree
0.5,0.5,0.0001,0.025900000000000003,0.029166666666666667,0.06559775679030098,0.353191,KNeighbors
0.5,0.5,0.0001,0.0444,0.04881944444444445,0.119651878614839,0.3292750000000001,DecisionTree
0.6,0.5,0.0001,0.028300000000000002,0.03388888888888889,0.100282733300883,0.46982999999999997,KNeighbors
